Galaxy,Q,Inc_deg,N,in_primary,Mbar_Msun,vh_kms,vh_lo,vh_hi,chi2red_ssv,chi2red_nfw,nfw_v200,nfw_c,chi2red_mond,chi2red_cored_posthoc,cored_vh,cored_rc_kpc,chi2red_flynn
UGC01281,1,90.0,25,1,5.6752e+08,27.75,26.75,28.75,12.574,0.942,303.2,1.00,0.366,0.142,63.5,3.09,6.285
UGC02023,2,19.0,5,0,1.2884e+09,25.00,19.25,30.50,2.003,0.733,216.8,1.00,2.561,0.065,500.0,40.34,0.342
UGC02259,2,41.0,8,0,1.5195e+09,75.00,74.25,75.50,8.553,0.706,54.8,20.23,45.617,0.757,79.3,1.22,70.616
UGC02455,3,51.0,8,0,2.8925e+09,0.00,0.00,2.25,26.872,32.065,10.0,1.00,125.199,31.351,0.0,0.97,0.860
UGC02487,1,36.0,17,1,2.6887e+11,300.75,299.75,301.50,9.322,4.461,209.4,23.03,261.623,9.937,300.8,1.28,236.875
UGC02885,1,64.0,19,1,2.5506e+11,225.50,222.75,228.50,7.269,2.599,226.3,7.15,2.835,4.005,251.7,13.01,60.255
UGC02916,2,50.0,43,0,9.3030e+10,79.75,78.75,80.50,78.991,45.099,447.8,1.58,75.570,33.161,197.3,13.14,2696.744
UGC02953,2,50.0,115,0,1.3997e+11,219.00,218.75,219.00,59.966,6.115,170.5,16.29,201.156,4.270,233.4,4.92,9129.624
UGC03205,1,67.0,48,1,6.9691e+10,171.75,171.00,172.25,7.702,4.056,126.8,17.70,12.300,2.649,175.3,2.41,843.127
UGC03546,1,55.0,30,1,5.4226e+10,142.50,142.25,143.00,14.465,3.650,143.8,8.55,12.206,2.390,165.0,7.77,1477.849
UGC03580,2,63.0,47,0,1.2445e+10,78.75,78.25,79.00,152.448,30.903,206.5,2.21,87.537,20.686,125.7,10.24,677.854
UGC04278,1,90.0,25,1,2.1378e+09,47.75,46.75,48.50,17.254,1.286,472.2,1.00,3.202,0.715,108.0,5.79,4.898
UGC04305,3,40.0,22,0,1.2857e+09,11.75,10.25,13.25,2.310,1.944,11.8,11.72,68.492,1.839,15.8,0.70,14.680
UGC04325,1,41.0,8,0,1.9147e+09,71.50,70.50,72.75,21.177,2.868,60.1,19.69,29.350,0.648,85.0,1.24,44.229
UGC04483,2,58.0,8,0,4.9060e+07,16.00,15.25,16.50,6.103,0.593,24.5,9.08,11.250,0.235,22.0,0.51,10.905
UGC04499,1,50.0,9,0,2.2390e+09,52.75,51.75,53.75,13.775,1.045,69.8,6.54,9.479,0.220,66.8,2.83,24.101
UGC05005,1,41.0,11,1,6.1637e+09,55.75,52.25,59.25,6.505,0.218,143.8,1.84,2.460,0.020,97.8,10.04,8.244
UGC05253,2,37.0,73,0,1.0760e+11,142.50,142.25,143.00,85.234,6.079,177.4,8.55,6.918,2.444,201.0,8.11,3541.899
UGC05414,1,55.0,6,0,1.3249e+09,34.50,33.50,35.75,20.531,1.063,323.7,1.00,11.125,0.117,62.3,2.96,5.340
UGC05716,2,54.0,12,0,1.7490e+09,58.25,58.00,58.25,54.307,1.807,58.9,8.95,37.507,3.608,68.5,2.95,515.081
UGC05721,1,61.0,23,1,1.0130e+09,64.25,63.25,65.25,11.169,0.964,48.5,26.45,12.319,0.575,76.4,0.84,66.786
UGC05750,1,64.0,11,1,3.1297e+09,32.25,29.75,34.50,8.993,1.005,108.2,2.23,3.210,0.107,76.9,7.02,18.856
UGC05764,2,60.0,10,0,2.5929e+08,46.75,46.75,47.00,42.971,6.734,38.1,19.09,219.700,3.155,53.4,0.91,706.520
UGC05829,2,34.0,11,0,1.6426e+09,38.25,36.50,39.75,5.245,0.085,174.7,1.66,2.860,0.239,57.6,2.99,1.297
UGC05918,2,46.0,8,0,5.1151e+08,31.75,30.25,33.25,3.690,0.146,41.1,7.76,1.214,0.028,40.6,1.35,2.597
UGC05986,2,90.0,15,0,5.8946e+09,82.25,81.75,83.00,72.442,5.811,128.9,7.91,30.073,0.925,114.6,3.16,193.764
UGC05999,2,22.0,5,0,4.3813e+09,71.50,69.00,74.00,13.827,2.515,135.8,2.95,5.799,0.868,97.7,7.39,6.008
UGC06399,1,75.0,9,0,2.0444e+09,63.50,61.75,65.00,9.783,0.658,108.5,5.66,0.768,0.040,85.6,3.31,12.569
UGC06446,1,51.0,17,1,2.3281e+09,66.75,65.75,68.00,4.403,0.215,57.7,14.60,4.878,0.289,75.0,1.59,40.005
UGC06614,1,36.0,13,1,9.1286e+10,119.50,115.25,123.75,8.673,0.883,404.4,1.00,9.170,0.198,208.3,26.29,15.775
UGC06628,2,20.0,7,0,3.8645e+09,19.00,12.00,24.50,0.281,0.267,13.0,31.94,16.332,0.338,19.1,0.01,0.839
UGC06667,1,89.0,9,0,1.7745e+09,65.00,63.75,66.00,26.165,1.307,99.4,6.79,26.663,0.132,86.8,2.92,20.074
UGC06786,1,64.0,45,1,4.3393e+10,185.00,184.75,185.50,50.310,0.951,158.6,13.92,169.842,1.855,206.5,4.93,1870.522
UGC06787,2,66.0,71,0,5.5818e+10,185.50,185.25,185.75,90.717,29.183,173.8,12.40,200.087,25.359,216.2,5.90,3858.875
